document_id,clean_text,sentiment
11,i just got out of an early access showing and it was absolutely incredible see for yourself in imax the characters acting screenplay world building storytelling score actions sequences cinematography and everything in between make for a cinematic masterpiece denis villeneuve provides a masterclass of filmmaking the casting continuation was perfect all the way through with great new addons timothee chalamet is believable raw and real as paul atriedes he was flawless as the lead zendaya rebecca ferguson javier bardem and josh brolin are fantastic per usual stellan skarsgard and dave bautista continue their evil austin butler steals the show as feydrautha and florence pugh and christopher walken are solid fresh castsoverall dune part two is an inspiring visually stunning scifi spectacle and an incredible collision of myth adventure and destiny on a galactic scale its a fantastic piece of filmmaking rarely seen in modern day cinema,positive
12,dune part is an epic movie slickly made and visually stunningbut i had to explain quite a bit to the friends around me who had not read the book especially the water of life scene and the final battlethe movie had almost a hour run time but it felt overlong because villenue focuses too much on spectacle on very little on substanceit is a beautiful movie but it feels like it has no soul the emotional connection between paul and chani so vital to the story is completely lacking and unbelievable the two main characters are good looking enough but has absolutely zero chemistry on screeni am certain zendaya is a fine actress in some things but she has basically facial expressions here and the one she uses the most is a scowl directed at paul i found her to be the worst part of this moviethe final fight scene is short choppy and a mess it felt anticlimactic and unfulfilling the harkonens are basically reduced to bumbling villainy almost cartoonish the ending was super abrupt and was so different from the book that it left me wondering what the filmmakers would do if they want to do a sequeli want to reiterate that this isnt a bad movie villenue is great at creating a world that looks living and breathing but he cant give life to individual charactersit is like he cant see the trees for the forest,positive
13,first of all part one was pretty good fast pace some talking but not much a fast pace movie i enjoyed overall a very good moviethe overall part is boring not the actors fault though rather its the script that is dragging its feet nowhere because its badly written so bad it becomes a snooze at the end of the day its boring and weve lost interest characters spend some much time talking philosophizing whining and complaining you wonder why a production would spend millions on such a badly written boring story thats the trend these days when a network wants to cut down expenses its making characters blob to deathchalamet not my cup of tea in this part he looks out of place feels more like a choir boy rather than an action movie heropart misses the mark,negative
14,as an avid movie fan i see plenty of movies many average many bad a few good and once in while great but i use the word great scarcely dune is better than great oppenheimer was a great movie but i wouldnt rush back to see it a second time in the near future dune i would see it again tomorrow the story is on par to the star wars legacy the acting on par with oppenheimer the sfx better than the two movies just mentioned combined when the movie finished over and half hours i still wanted more the emotional ride was like nothing i can remember from any movie i can remember best movie of the year i dont think so best movie of a generation is more akin to what i saw wish i could give it stars,positive
15,it was a visual spectacle and refreshingly it lived up to and beyond the hypehowever for me there was a niggling itch through the movie something about chanis character that bothered me and only grew as the movie progressedi googled to see if others shared this feeling all i could find was praise for the character however there was consensus that she was written very different from the booki finally found an article that helped describe the disconnect i felt with chanithe following is not my writing and all credit is given to kara kennedy herberts novel dune chani has a range of roles and avenues of strength influence and power she becomes pauls love but begins as the young woman who introduces him to a foreign desert land in his visions and the one who guides him as he integrates into the fremen community she is a fierce young fighter as well as a religious leader in her role as sayyadina standing apart from paul to oversee the cultural rites she is a young mother who finally wins the approval of her childs bene gesserit grandmother jessica and saves paul from a long coma she is wise enough to understand the political necessities of paul legally marrying a princess and trusted by him to negotiate the marriage contractchanis attachment to paul is an important part of the story but it does not reduce her to being a simple onedimensional female character chani is an essential window into fremen culture her multifaceted character challenges stereotypes about women of faith and women in nonwestern cultures that continue to be debated about in the real worldmeanwhile the filmsdune part one and especially dune part twomake substantial changes to chanis character in the name of making her more independent which end up making her more stereotypically masculine she is mainly a fighter who has a fling with paul she is not a mother and not a religious figure instead rejecting any association with religious beliefs or practices she is almost a second jamis except that she has a brief romantic entanglement with paulchanis disavowal of the religious elements in her culture arguably represents a contemporary western cynical view taking over the story that religion must be purged to empower the individual to free women from their shackles this change in chanis character appears to be intended to make her more free and complex because shes not a follower and she doesnt believe she can be dismissive of paul and sees little to learn from him their relationship is then not a mutual exchange a partnership but something she has to turn aside from to be independentthe underlying message is that if chani were a woman of faith like in the book she couldnt be an interesting complex character just a follower whos oppressed the takeaway is that the fremens religious system is bad because it was influenced by outsiders that faith makes people weak and that being a fighter and killer is preferable to being like the women who live in the sietches wear headscarves and discuss religious ideas or who carry the tribes ancestors in their bodieschani may also reflect a deeper fear in the increasingly secular west about the power of religion in the st century it is possible that the idea in dune of an oppressed group militarily united under a religious banner drawing strength from a belief in something greater than themselves is still too much to put on screen in an adaptation especially given the books middle eastern influences if viewers need to be reassured that not everyone believes that there is division that someone is the rational one to turn away from the fundamentalists then chani offers this she is the contrasting perspective the voice of socalled reason who questions the religious indoctrinationbut ultimately the considerable changes made to chanis character for denis villeneuves film adaptations alienate her from her lover and her culture and strip her of the many roles she has in the book any complexity gained by her skepticism is offset by the loss of her influence and authority and her place in her community chanis depiction in the films worryingly suggests that the price of being an independent woman means being faithless and alone,positive
16,visually and musically stunning like the first movie with excellent action scenes casting superb for the most part aside from walken as emperor which in my opinion was not a great cast nothing against christopher as an actor but he just doesnt seem all that well in that roll but still good enough to get the job done also i am not the biggest fan of zendaya visually shes a good cast for chani but her constant angry face and little chemistry with paul is distracting chalamet and ferguson absolutely nailed the rolesmy main issues with the movie are incomplete or reduxed storytelling and that the director decided not to include possiblly some of the most important and fascinating elements and scenes at least for me from the storythe werding way i was disappointed since the technology was available that the directoror did not incorporate the bene gesserit werding way martial art of paul and jessica where the moments were so fast that it almost appeared as teleportation this should have been in the movie to emphasize how incredibly skilled mysterious and godlike paul and jessica would be to the fremen and the viewerjessicas reverend mother transformation was not explained properly and seriously underperformed by the writing the explanation of the magnitude and significance of what reverend mother is was not construed properly in the movie reverend mothers were seriously overpowered beings with strong powers and influence the fact that there was another hidden reverend mother on dune was not signified properly the transformation in the book was much more poignant and there was very little explanation to jessicas daughter aliah and the abomination jessicas role was seriously deminished in the second moviekwisatz haderach i found the significance and explaition and the powers were inadequately explained and explored by the movie as mentioned earlier the significance of powers of reverend mothers but it wasnt shown how much of a big deal the kwisatz haderach actually was and how much more powerful he was his precience past memories should have been more visually and nuancedit felt like the director was too cautious or afraid to explore the more mysterious and transcedental parts of the story which in my opinion are the core of the story without it feels almost pointless and like a different plot where paul just fights to free the fremen and jessica gets a nun spiritual job with the fremen while paul is shown as a gifted fighter with some sort of special abilities that dont look all that different to anyone else where in fact pauls fighting when using weirding way would almost be incompreheble to the fremenin summary the movie is a visual feast with a theatrical presence of a masterpiece but fails capture the magnitude of the main characters and their abilities and in essence what the power struggle not just for spice is all about could have been a,positive
17,we have waited many many years for a movie of this caliber im years old a female grandmother and retired this was the best movie i have ever seen i dont tend to like sifi movies so i went along with my husband as a favor the length of this movie wasnt even noticed by us it wasnt long enough to be honest we wanted more it ended and we werent done yet we know how long it takes for sequels to come along so who knows if ill still be on the planet to see it i hope i am and i hope they can do it justice the last time i remember a movie being this good i was in high school in the s do not miss the opportunity to see this movie in the theatre crazy good,positive
18,dune has been successfully put to the big screen not only is this a good adaptation it passes with flying colorsthe character arc of paul atreides is fascinating and complex i love how they delved into his psyche and motivations so prevalently in this movie he is reluctant to take up the messianic mantle because he knows its a lie but things go according to his vision and he becomes a morally complex character religious fantacism takes hold of the fremenit is up for interpretation what kind of character paul becomes is he a tyrant was it the only path what does religion have to do with it paul takes hold of the bene gesserit lie by exploiting faiththis leads to other questions can one truly trust the arm of flesh the frailty of man leaders have come and gone throughout history bringing different idealsones own morality comes into play agency is vital to the human experience man will always falter this leads to questions of a higher power and his role is there a god above what are the implications of thatwe dont get stories like this in hollywood anymore there is no happy ending in dune and one can only ponder the moral complexities of it the book and movie have made me contemplate many things and i deeply appreciate stories like thatothers have already applauded the effects acting and script so i wont go into that too much here what i will say is it was the best looking movie i have ever seen everything looked lived in the fight scenes were choreographed masterfully each actor gave outstanding performances hans zimmer gives a mesmerizing soundtrackfrank herberts vision was honored masterfully well done denis villeneuve,positive
19,saw an early screening of this film at the tilton square theatre in new jersey and i was completely blown away from the opening scene all the way until the credits i never felt bored which is impressive for a hour and minute filmi dont want to write too much here i prefer anyone reading this with the slightest bit of interest in the film to go see it immediately it doesnt release worldwide until march st so grab tickets and i would highly recommended you see it in imax if possible almost the entirety of the movie is filmed with imax camerasthis movie is an absolute visual spectacle probably going to win a couple oscars for sound editing picture etc and the fight scenes are choreographed so fantastically like i stated in the beginning see this film,positive
20,like the first part the second part is visually stunning though having read the book twice i regret to say that unlike the david lynch version from the eighties de villeneuve almost deliberately destresses the mysticalmythical core of the story this makes for an impressive viewing that somehow left me unsatisfied in de villeneuves hands the story becomes one of political grandstanding which is but part of what the book is about both in relation to the hidden ways of the fremen and the nature and mission of paul and his mother for example in the second part those scenes where paul atreides becomes the kwizatz haderach are rather weak and not very convincinghaving left this essence out of the movies they become a bit of an emptied out visual experience a kind of secular profane dune still nice but also a bit disappointing,positive
21,i just watched this in imax and it was one of the greatest movie experiences i have ever had everything from part one was done even better in part two and the story was much more interesting the outfits were so unique and really well made whenever i thought it was starting to move a little slow something insane happens and im instantly drawn back into the world of dune that denis has remade and expanded on so much all the shots of the different worlds were just breathtaking the last hour of the movie is by far some of the best made cinema in awhile and the action was so good the last fight was awesome as well you fought well atreides,positive
